LP 6,3,Picture 50(Line955),Picture 59(Line942),Picture 42(Line479),,,Part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V, mkm/s",1,2,3,4,5,6,7,8,9,10,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,,,,,,,,,,,"16,2","115,35","147,5","154,6","158,55","162,45","157,8","159,5","144,05","132,05","107,55","83,05","70,8","70,3","61,5","50,7","43,85","44,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,,,,,,,,,,,"35,75","158,3","193,3","207,5","211,9","218,8",,,,,,"101,45","84,75","76,9","63,2","51,95","46,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w1)/2, nm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w2)/2, nm",,,,,,,,,,,,,,,,,,,,,,,,,,,,627,590,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"w, nm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 7,"3,5","Picture 24,25",Line 401,15.03.2021,Part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V, mkm/s",1,2,3,4,5,6,7,8,9,10,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,,,,,,,"25,25","107,8","139,65","321,2","383,65","402,25","409,65","401,8","420,15","409,4",404,"391,5","378,25","366,5","354,5","362,85",366,"357,45","348,1","342,5","331,75","327,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w1)/2, nm",,,,,,,,,"353,133438","429,1652174","414,0607143","429,7887981","367,5769231","364,361276","361,0857401","379,6973789","376,6752066","399,0362812","372,5431711","370,9953775","363,6904332","398,6616667","394,5428051","375,2497409","334,1113074","381,7987421","370,5976447","366,0085106","364,5366404","323,4377395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w2)/2, nm",,,,,,,,,"418,0816327","432,293617","421,3674121","465,6465517","417,0160681","388,6871658","420,0936953","386,3176692","401,2413793","422,0377698","386,128934","380,2264957","385,5762877","400,4482759","338,0168317","385,8357741","387,8904523","401,4017341","336,2669284","372,9323671","370,4022005","372,7126568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"w, nm",,,,,,,,,"771,2150706","861,4588344","835,4281264","895,4353499","784,5929911","753,0484417","781,1794353","766,015048","777,9165859","821,074051","758,6721051","751,2218732","749,2667209","799,1099425","732,5596368","761,085515","722,0017597","783,2004762","706,8645731","738,9408778","734,9388408","696,1503962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 10,5,Picture ~106,Line 329,15.03.2021,Part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V, mkm/s",1,2,3,4,5,6,7,8,9,10,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,,,,5,"176,5",335,427,535,606,833,"852,5",849,"846,5",841,"828,5",823,812,796,783,"753,5",742,"718,5",706,686,687,673,668,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w1)/2, nm",,,,,,325,"208,3806818",233,"257,8928571","289,5636364","324,4545455","429,5060976","528,6574803","464,410596","455,5094937","460,375","458,25","433,6219512","411,5029586","430,3269231","389,5652174","424,8759124","378,8685714","422,8065693","432,6793893","427,8796992","418,0863309","433,2834646","415,738806","331,1785714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w2)/2, nm",,,,,,325,"208,3806818",233,"257,8928571","289,5636364","324,4545455","429,5060976","528,6574803","464,410596","455,5094937","460,375","458,25","433,6219512","411,5029586","430,3269231","389,5652174","424,8759124","378,8685714","422,8065693","432,6793893","427,8796992","418,0863309","433,2834646","415,738806","331,1785714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"w, nm",,,,,,650,"416,7613636",466,"515,7857143","579,1272727","648,9090909","859,0121951","1057,314961","928,8211921","911,0189873","920,75","916,5","867,2439024","823,0059172","860,6538462","779,1304348","849,7518248","757,7371429","845,6131387","865,3587786","855,7593985","836,1726619","866,5669291","831,4776119","662,3571429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 15,"7,5","Picture 72,73,84",,22.03.2021,,Picture 105,Line ~251,22.03.2021,,Picture 89,Line ~300,22.03.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V, mkm/s",1,2,3,4,5,6,7,8,9,10,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,,"59,8","230,5",639,"982,5","1258,5",1372,1449,1451,"1612,5","1656,5",1676,1670,"1622,5",1589,"1578,5","1567,5",1519,"1502,5",1451,1414,1394,1372,"1336,5",1302,"1265,5",1234,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,"3,2","85,7",242,"721,5",1070,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,,"52,45","203,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w1)/2, nm",,,,,,"53158,33333","895,3125","540,8333333","578,5178571","605,3090909","616,3636364","785,9847561","1003,46063","875,1721854","846,4113924","845,9835526","838,5","779,125","746,7840237","777,9230769","686,75","811,810219","670,7085714","792,6058394","813,9770992","794,7030075","749,9208633","783,1850394","732,5298507","508,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
